prefecture_id, prefecture_name, prefecture_hash, area_id, prefecture_comment1, prefecture_comment2, prefecture_tree, prefecture_flower, prefecture_bird
01, 北海道, 06372523c61d9cda410a826a016c46d860038dcdc214fe227373af8d6a4a2d98, 01, 江戸時代からの歴史はさることながら、四季折々の風景も楽しめる五稜郭公園。春は星形の城郭を囲むようにソメイヨシノが咲き誇り、冬はイルミネーションが公園を彩ります。その美しい五角形は、上空から見るのがおすすめ。丘珠＝函館線の機内から見える様子は圧巻です。, 札幌のご当地グルメとして、一躍有名になったスープカレー。同じお店でも辛さやトッピングを選んで異なる味を楽しむことができたり、お店によって入れる具材が違うのも魅力です。ぜひ、現地でお気に入りの味をみつけてくださいね。, エゾマツ, ハマナス, タンチョウ
02, 青森県, f4bfa2f65de8ea16a9e314d87c3df78f7de143230ab78c40193952963f38574c, 01, 東京よりも少し遅く、ゴールデンウィークごろに桜の開花を迎える弘前公園。お住まいの地域によっては、年に2回のお花見を楽しめるかもしれません。約2600本のソメイヨシノが咲き誇る弘前公園では、満開の時期はもちろん、桜が散り始めたころにお濠がピンク色に染まる様子もまた美しいですよ。, 「せんべい汁」とは、野菜とお肉を煮込んだ汁にせんべいをちぎって入れる郷土料理です。始めはサクサク、煮込めばモチモチになる食感が特徴で、青森では、家庭ごとに「わが家の味」があります。, ヒバ, リンゴの花, ハクチョウ
03, 岩手県, c28b950d4732ed0ef79db7eaab79938458d25db69fc0c9452338f0dc7108af23, 01, 盛岡駅前の開運橋から見える岩手山と北上川の景色は、岩手出身の私の自慢の風景です。雲がない日は青空と岩手山とのコントラストが美しく、その間を流れる北上川を見ると心が洗われるようです。春はチューリップや芝桜が川辺に咲き乱れ、一層美しく感じます。, 「わんこそば」は、「盛岡冷麺」「盛岡じゃじゃ麺」と並ぶ、盛岡三大麺のひとつです。「どんどん！じゃんじゃん！」といった掛け声で給仕役の方が一口大のそばをお椀に入れ、自分でお椀に蓋を閉めるまで食べ続けるのがルールです。どんどん追加されるそばは、用意されている様々な薬味と共に食べることができますので、飽きずにおいしくいただけます。, ナンブアカマツ, キリ, キジ
04, 宮城県, 810c1142baa4cf861c81a05a5585f404bdf6718b778855f17109f5a0fee2b13a, 01, 街中に豪華絢爛な笹飾りが揺れ動く仙台七夕まつりは、仙台が1年で最も華やぐイベントです。仙台で過ごした小さいころ、メイン商店街の迫力ある七夕飾りの間をかき分けながら進んでいき、カラフルな夢の世界にいるような心地だったのが、いまも印象に残っています。, 枝豆をすりつぶしてペースト状にした「ずんだ」は、絶妙な甘さとまろやかな食感、そして爽やかな色合いが食欲を誘う名物です。最近はシェイクなどにもアレンジされ、多様な味を楽しめるようになってきましたが、私の一押しはお餅と一緒に食べるシンプルな「ずんだもち」です。, ケヤキ, ミヤギノハギ, ガン
05, 秋田県, 15fa1576fc12ec4806c13f47fd309282c87085e7ae8be411b95f6bd00aba0127, 01, 磯釣りで人気のある岩礁地帯の、男鹿半島・潮瀬崎。人の背丈を超えるサイズの岩があちこちに散らばっています。そのなかのひとつがゴジラ岩。名前の通り、海に向かってゴジラが火を噴いているような姿は迫力満点です。ゴジラのシルエットがくっきりと浮かびあがる、夕暮れどきに鑑賞するのがおすすめです。, 米どころ秋田の郷土料理である「きりたんぽ鍋」は、つぶしたごはんを棒に巻き付けて焼いた「たんぽ」と土地の野菜やきのこ、鶏肉を煮込んだ料理です。同じく秋田名産の比内地鶏の出汁をたっぷり吸ったきりたんぽを、ぜひ召し上がってみてくださいね。, 秋田スギ, フキのとう, やまどり
06, 山形県, f679982a45ebfb995bfdb16b1b2cea965df8865878a4292dfa761b16e473c783, 01, 松尾芭蕉が「おくのほそ道」で詠んだ有名な一句 “閑さや岩にしみ入る蝉の声”がここで生まれたことは、山形県民の誇りです。\n山寺ではぜひ、名物の力こんにゃくを食べて、1015段の石段を登り、頂上で格別の景色を堪能してください。, 河原で友人や職場の仲間と芋煮を囲んで交流を深める「芋煮会」は、山形の秋の風物詩。とくに、馬見ヶ崎川河川敷で毎年行われている「日本一の芋煮会フェスティバル」は、直径6mの大鍋で作られた芋煮が振る舞われる秋の一大イベントです。, さくらんぼ, べにばな(紅花), オシドリ
07, 福島県, 2eee61351a28f9f676a1c1174949a542190f0e3fd86fc2dd75702d6464fda4f6, 01, 神秘的で威厳のある達沢不動滝は、福島出身の私が故郷を感じる、隠れた名所です。\n毎年、緑がひときわ濃く美しい夏から秋の季節に訪れ、癒しのひとときを過ごしています。, 豊かな自然が生み出す伏流水を使い、一般的なラーメンの麺よりも水分を多く含んだ、太めの平打ちちぢれ麺が特徴です。あっさりとした、香り高いしょうゆベースのスープが喜多方流。その香りだけで幸せな気持ちになります。, ケヤキ, ネモトシャクナゲ, キビタキ
08, 茨城県, c99f1df3923cf6da82d52da1d086f51c3dd517cb96e7ee1e89f91d00aec8fbd5, 02, 国内最大級の、歩いて渡れる橋・竜神大吊橋。四季折々の美しさがありますが、私のおすすめシーズンはゴールデンウィークです。その期間には、1000匹もの鯉のぼりが山あいを悠然と泳ぎ、幼少期に見てとても感動したことを覚えています。, 茨城といえば、納豆。「わら納豆」はよく知られていますが、切り干し大根が入った「味付き納豆」はご存知ない方も多いのではないでしょうか？　切り干し大根のカリカリした食感がごはんとの相性抜群です。納豆が苦手な方にもぜひお試しいただきたい一品です。, ウメ, バラ, ヒバリ
09, 栃木県, 5c985fccf4bbf5bc00d2b0907a68ba85e25a9c0424b4c9d4bc4ad1f1d5abaa50, 02, 大谷石の採掘の歴史が分かる資料館。見学可能な地下採掘場は、まるで別世界のように幻想的かつ神秘的です。私はときどき、少し現実を離れてリフレッシュしたいときに訪れ、エネルギーをチャージしています。, 餃子の街と言われる宇都宮には、約200もの餃子店があります。宇都宮餃子の特徴は野菜中心でお肉やニンニクが控えめなところ。薄皮のパリッとした食感と、野菜をたっぷり使った具の味わいは、一度食べればきっとやみつきになります。, トチノキ, やしおつつじ, オオルリ
10, 群馬県, 9d24894c37ab68beef0b4221c03f8bc911e1e3de009ae53116602baed6d1578f, 02, ぐんま天文台は、日本初の女性宇宙飛行士で、群馬県出身の向井千秋さんが宇宙に飛び立ったことを記念して建設されたとのこと。私の出身地でもあり、天文台から1時間ほどの距離にある「吾妻（あがつま）」も大変星が美しく、小学生のころに家の屋上から星の数を数えていたことを思い出します。, 蒸したまんじゅうを長めの竹串に刺してこんがりと焼き、甘辛い味噌ダレをたっぷりと塗ったのが群馬の「やきまんじゅう」。小腹が減ったときや、子どものおやつとしても重宝する、群馬県民が愛する名品です。, クロマツ, レンゲツツジ, ヤマドリ
11, 埼玉県, 14aeb24b3cae4bad2b53a4313f696a8cdc33f492d9c7462c7766ee92cf50b5ed, 02, じわじわと海外でもブームの兆しを見せている盆栽。ここは、日本屈指の盆栽郷として、外国人観光客も急増しています。本格的な盆栽文化を、肌で感じてみてはいかがでしょうか？, 日本一の川幅を有し、埼玉を流れる「荒川」に由来して名付けられたご当地グルメ「川幅うどん」。ボリューム満点でお腹も心も満足するうどんです。お店によって味付けやコシも異なるので、食べ歩きもおすすめですよ。, ケヤキ, サクラソウ, シラコバト
12, 千葉県, 31d5c25b46b0dbeafa40fbc6e3c01ca667b243d96dcee1ccad4362efa0a2198f, 02, 洞窟の穴から差し込む光と、それによってできる影がとても幻想的なスポット。朝早い時間帯には、差し込む光が水面に反射してハートのシルエットが浮かび、とてもロマンチック。千葉県の自然を満喫できるスポットです。, 日本の落花生の約8割が栽培される千葉県では、落花生(ピーナッツ)を使ったメニューのあるお店がたくさんあります。じつは、落花生は鮮度によって味が全然違うので、ぜひ専門店などでも召し上がってみて下さい。, マキ, なのはな, ホオジロ
13, 東京都, db5255ab6487ee2c00eda26ddc275746e8104d2466a523bc44f2ff02c0fa3dd2, 02, 世界有数の規模を誇る渋谷交差点は、なんと、一度の青信号で3000人もの人が通行することをご存知ですか？　  せわしなく歩いてしまいますが、やはり大都会東京の象徴的なアイコンです。世界各地から来た人が、その人の多さにシャッターを切る姿も目にします。, 甘味の定番「あんみつ」が、じつは東京発のご当地グルメであることをご存知ですか？　浅草のお店で誕生した「みつ豆」に、銀座のお店で餡をのせたのが「あんみつ」の始まりと言われているそうです。カラフルなあんみつは、インスタ映えする和風スイーツの代表格です。, イチョウ, ソメイヨシノ, ユリカモメ
14, 神奈川県, 2bd5ae7e872e419d03b233ee0153e914c386a0cdf1e44e1de13a4bb9516460f3, 02, 寺院が点在する鎌倉では、咲いている花の種類で季節の流れを感じます。なかでも、梅雨時期の紫陽花は有名です。雨が続く憂鬱な季節に、明月院の紫陽花は気分を明るくしてくれます。, 食べられる場所や時期も限られている、貴重な「生シラス」。新鮮な生シラスは甘みがあり、つるりとした食感が特徴です。漁師さん曰く、最もおいしい時期は春だそう。ふっくらとした食感の釜揚げシラスと食べ比べするのもおすすめです。, イチョウ, ヤマユリ, カモメ
15, 新潟県, 28dd32e02acbea0db4ba858374333569e2ca831ca81617acc16bf5a14773e903, 03, 古くから新潟の市民をつなぎ、主要な交通路とされてきた萬代橋。 新潟出身の私の故郷のイメージといえば、信濃川に架かる萬代橋の６つの美しいアーチが目に浮かびます。 季節や眺める場所によって、様々な表情を見せてくれるのも魅力です。, 布海苔（ふのり）という海藻をつなぎに使ったそばで、のどごしのよさと強いコシが特徴です。３～４人前のそばを「へぎ」と呼ばれる長方形の器に盛りつけ、家族や友達みんなで食べるのがご当地流です。, ユキツバキ, チューリップ, トキ
